question,answer
"Which is the lowest cost IMU work effectively with Neuton Ai for industrial predictive maintenance use? I am using Edge Impulse on Arduino, exploring alternative for STM IMU instead of MCU for lower cost and design optimize.","Even with programmable IMUs from ST, like the ISM330IS, they do not have non-volatile memory. This means that even if you could program and run Neuton models inside such an IMU, you would still need to upload firmware on each boot cycle (power cycle) from an MCU via I2C. We are interested in discussing your case in more detail. Could you let us know your time zone? We’d like to find a slot that works best for you."
"I am using a witmotion WT9011DCL-BT50 9 dof IMU to gather data from the flight of a frisbee disc. Can I use Neuton to analyze the flight pattern and determine key points in the pattern, such as the initial start of the wind-up, the release point, the point of maximum speed, the point of maximum elevation, etc.? Must the neural network code be loaded onto the IMU, or can it be used/worked with in a software analysis program, such as Android Studio?","Using the Neuton platform, you can solve supervised classification/regression tasks and perform unsupervised anomaly detection. For instance, if you want to predict when a frisbee disc flips over in the air, you will need to label the corresponding sensor signals: assign label 0 for steady flight and label 1 for when the frisbee flips over. This labeled data can be used to train a classification model on the Neuton platform. Once deployed on the frisbee's MCU, the model can detect when the frisbee flips over during flight and execute predefined logic. Additionally, you can train an unsupervised anomaly detection model on the platform using recorded signal data from normal frisbee flights without labeling the data. This model can then detect anomalies such as the frisbee hitting a building or flipping over unexpectedly. Analyzing the signal data collected from your application involves manually plotting out different parts of the signal and conducting analysis."
i cant find neuton.c and neuton.h files  ,"With the Neuton.ai platform, only precompiled libraries are accessible in the ./neuton/lib folder. If you require source code access, please contact us via the following form and explain your use-case: https://neuton.ai/contactus."
will I get c downloadable files supported by arduino nano ble 33 sense,"Arduino is not currently natively supported on the Neuton platform, but compatibility will be included in future platform updates."
how to enable tinyML?,"TinyML is at the core of the platform and is enabled by default. However, Neuton offers a Digital Signal Processing option to help preprocess raw data, which is essential for many TinyML use cases."
how to use audio data?,Neuton.AI currently does not support audio data processing.
Can you self host the neuton trainer?,"At present, model training is exclusively available through the Neuton.ai TinyML platform."
does neuton allow to train images? ,"Not at the moment, but image processing is on our roadmap."
can I use my own model architecture?,"The Neuton Neural Network Framework automatically grows its structure neuron by neuron, ensuring minimal model size with excellent generalization and no loss of accuracy. Since Neuton does not require a predefined architecture, there is no need for a network architecture input option."
Your model training service seems to be cloud-based only. Do you provide it for on-prem servers as well?,"Currently, we do not provide on-premises model training services. However, we encourage you to fill out the following form: https://neuton.ai/contactus so we can discuss your needs in more detail."
Are the 8-bit models more accurate than the 16-bit ones? ,"There is no strict dependency. In many cases, the metrics of an 8-bit model may differ only slightly from those of a 16-bit model, while the model itself remains more compact."
Are the floating-point models more accurate than the integer-only ones?,"It depends on the data. The model accuracy may stay the same or even improve with a float-based model. However, the key advantage of an integer-based model is its increased compactness."
why there are two numbers in the precision results  ,"When binary classification is used, the platform provides metrics for both classes, allowing you to evaluate the performance of the model for each class separately."
What kinds of datasets does your approach work on?,"Currently, we work with time series sensor data. Image and audio data processing are on our roadmap. However, if your data is represented as numeric values, such as the MNIST dataset, you can train it on our platform."
is it possible to run the c library generated on an arduino mega 2560?,"It is possible to run the C library generated on an Arduino Mega 2560, but you will need to adapt the library for it. Currently, Arduino is not natively supported on the Neuton platform, but compatibility will be included in future platform updates."
"When selecting the sampling window, does the data get windowed in 1d or 2d?","When selecting the sampling window, the data gets windowed in 1D."
Can I also upload data that is not csv?,You can upload your sensor data either in a .csv format or as a zip archive containing a single .csv dataset inside.
